"","Dim1","Dim2","Dim3"
"15000",-4.91971162189431,-0.296511468472722,0.111805369040507
"15001",-4.9009352542059,-0.290596670107554,0.110687812729657
"15002",-4.91231993711743,-0.288369791506847,0.109747999014008
"15003",-4.97200391246476,-0.291679914492216,0.111479444540816
"15004",-5.01411129077769,-0.276582076394771,0.0926709260550676
"15005",-5.03372604440565,-0.281965695327657,0.0958032806432871
"15006",-4.9636944510721,-0.293858560879832,0.112955426224229
"15007",-4.93897034007144,-0.287948657944393,0.110104763086131
"15008",-4.91586573783592,-0.288134311837787,0.10955005184523
"15009",-4.94650298818192,-0.274904128625844,0.092068017659241
"15010",-4.96164226062364,-0.275036663115169,0.0919527664417779
"15011",-5.03438799322908,-0.268885155083016,0.086499840469765
"15012",-5.05302860271817,-0.268689526173744,0.0857485304381882
"15013",-4.98087184430681,-0.26733840351977,0.0863240215259225
"15014",-4.96014969965804,-0.271512510750845,0.0899075155428223
"15015",-4.91519593283546,-0.293095075657897,0.111577137243345
"15016",-5.01144031538601,-0.274290856805277,0.0907192924239848
"15017",-5.01270465958692,-0.27646246592977,0.0923924920777457
"15018",-4.9848633830899,-0.274057127020982,0.0914427369579316
"15019",-4.94892727456048,-0.289904083798917,0.110581713136508
"15020",-4.95660829974517,-0.292243954810182,0.112495671728381
"15021",-4.94135766321754,-0.292711213145739,0.111303607476596
"15022",-5.03957107100045,-0.299503222222448,0.115417706656818
"15023",-5.04431922818713,-0.297010104783406,0.115156650973429
"15024",-5.03086354149762,-0.29676606225787,0.114972855206632
"15025",-4.97391596668449,-0.296686697139984,0.113623829208149
"15026",-4.95809196072699,-0.290578663322126,0.11101652174629
"15027",-4.97633541144021,-0.292408998651212,0.112275951077662
"15028",-4.97754521801689,-0.297199862102884,0.114184954946067
"15029",-4.97154311593491,-0.296732034162968,0.113199822879869
"15030",-4.93087286292836,-0.292852796621708,0.110393837406035
"15031",-4.93292305941829,-0.293494511735171,0.111005510136626
"15032",-4.91853388815229,-0.291538804443354,0.110746327564118
"15033",-4.94630323807122,-0.290844529553323,0.111336978924059
"15034",-4.87332005450829,-0.288380094862031,0.107475922646756
"15035",-4.90724873482777,-0.289873853648459,0.107917263018349
"15036",-4.93243084379258,-0.291766877722466,0.109183487848092
"15037",-4.96910831268793,-0.296760951638894,0.113204425463506
"15038",-4.91350186191418,-0.292183445293416,0.109313930174397
"15039",-4.82274626941159,-0.289471692443243,0.10218572303289
"15040",-4.76696850120488,-0.284238713738077,0.101346572646406
"15041",-4.78253883127752,-0.281916955621764,0.103445468087399
"15042",-4.86951043949996,-0.289265503429413,0.108546934046624
"15043",-4.91179414115992,-0.291052925839637,0.109010428339863
"15044",-4.97654792337967,-0.292825137605703,0.112521210585545
"15045",-4.99145424894202,-0.293325852871587,0.112897934372939
"15046",-4.88422413662886,-0.287776285142326,0.109031532606185
"15047",-4.93183607637971,-0.270984917407066,0.0894860670889972
"15048",-4.9938712813709,-0.267355433267806,0.0859679636351786
"15049",-5.00401140776248,-0.267442799204477,0.0857812320299153
"15050",-4.99554278398483,-0.271819399721191,0.0896805909632356
"15051",-4.94601820138008,-0.290079245936408,0.110824846809079
"15052",-4.90253444402688,-0.289345657647454,0.110603854548225
"15053",-4.87594782787759,-0.291051841069627,0.109309756136891
"15054",-4.85502051104899,-0.288585971108408,0.108999908634044
"15055",-4.78004996060058,-0.28487833177127,0.102180984259428
"15056",-4.81931005269385,-0.284906850483841,0.105504897275073
"15057",-4.83206911339362,-0.285348547495526,0.10553842813667
"15058",-4.88640513651094,-0.289160145179054,0.109229467842537
"15059",-4.92400404605366,-0.293032703650134,0.112048042333097
"15060",-4.96317312640498,-0.292959172870591,0.112647387732984
"15061",-4.84973141853271,-0.287976567868003,0.106925626624758
"15062",-4.82942953970085,-0.286702152963577,0.106232645584201
"15063",-4.78386211572257,-0.282856795721941,0.104450374412887
"15064",-4.83205375859836,-0.285982739242891,0.107522831033611
"15065",-4.9105192317035,-0.283367307326444,0.106970128381117
"15066",-4.88458170877773,-0.289298958858667,0.109432298284514
"15067",-4.86817872330419,-0.287895491096131,0.107111041374552
"15068",-4.95508563888928,-0.295276512392743,0.113141419864365
"15069",-4.95836945037952,-0.291407153668974,0.111814320854872
"15070",-4.94256401891321,-0.289854572421245,0.110690198320202
"15071",-4.90253383940068,-0.292098890318236,0.111240215603885
"15072",-4.89456100625873,-0.291545248730955,0.111086813603186
"15073",-4.85840762022288,-0.29118640644651,0.108185132634434
"15074",-4.83418007864589,-0.287728999477743,0.108027600957077
"15075",-4.82611281572522,-0.286145547885565,0.108017310415687
"15076",-4.85688870798867,-0.288281477326133,0.10935572220366
"15077",-4.91241113357178,-0.274377168726129,0.0918241844451012
"15078",-4.92408753972643,-0.288025139574838,0.109293458423346
"15079",-4.93042921799659,-0.289897400809519,0.111029117944421
"15080",-4.91224611459505,-0.288749383799803,0.110340235243661
"15081",-4.90040078514236,-0.294449574278564,0.110397790425082
"15082",-4.89313590005947,-0.292740089250038,0.110889215423867
"15083",-4.87559575366762,-0.290349801189255,0.108598373426823
"15084",-4.81111612680151,-0.284923233874185,0.105768103698883
"15085",-4.79599720094115,-0.285483644234934,0.10345370913892
"15086",-4.79731794997934,-0.283367493622697,0.104586022906371
"15087",-4.90810919374419,-0.288358160920428,0.109727969847091
"15088",-4.89988328320135,-0.286858501052378,0.108801919572468
"15089",-4.85570632245157,-0.286492531549193,0.108704667177037
"15090",-4.89870061822822,-0.291378771766147,0.110846567993257
"15091",-4.9101831570348,-0.29307999955186,0.111258716599834
"15092",-4.92701164795575,-0.294409317166133,0.112107811506697
"15093",-4.90292396550769,-0.294268147910078,0.109957280781645
"15094",-4.78578558573532,-0.284281979183045,0.102080579621361
"15095",-4.79050184709638,-0.28023130287932,0.104962797864105
"15096",-4.82349546680376,-0.261704412110202,0.0845342260302855
"15097",-4.87304151039134,-0.290325588897579,0.109549849866302
"15098",-4.86897977150337,-0.290224991218704,0.109875899512756
"15099",-4.85754119485014,-0.288660645998692,0.109304965437888
"15100",-4.80518149014185,-0.287962873001989,0.105387424346973
"15101",-4.7728365069262,-0.282437986058565,0.10440399260212
"15102",-4.81940813668932,-0.2829278665177,0.106906150519244
"15103",-4.87021514736823,-0.285263364418334,0.107972846401875
"15104",-4.85505524190549,-0.287746353190209,0.109060513687427
"15105",-4.78844593692611,-0.283213872060121,0.104683298979727
"15106",-4.75785983571189,-0.282599979897251,0.101665933055204
"15107",-4.75365441050022,-0.283212714569952,0.102106323119601
"15108",-4.72662824018083,-0.281546224689286,0.0994288335104827
"15109",-4.7256865779728,-0.279148114386581,0.102167322924752
"15110",-4.73170222576963,-0.279492338955631,0.102570916892065
"15111",-4.7836788642141,-0.279933030301426,0.104836134054107
"15112",-4.86255693575699,-0.28739695227832,0.10855299180455
"15113",-4.90960301026257,-0.287679102731671,0.109393052712544
"15114",-4.87287507220528,-0.289720343873482,0.110132703806987
"15115",-4.84126416486342,-0.287417718345268,0.10868435332427
"15116",-4.83083896090819,-0.282828555203623,0.106576050784864
"15117",-4.84634813145848,-0.284032569090441,0.107378062327861
"15118",-4.8464745209283,-0.285400010089836,0.108111032043958
"15119",-4.87106992214517,-0.266293761270016,0.0870780659930872
"15120",-4.88808227942441,-0.271820340955659,0.0904939279652837
"15121",-4.90048685962883,-0.271392027946266,0.090290028843709
"15122",-4.85663574839675,-0.288563839620525,0.109413265739652
"15123",-4.82501438839663,-0.282642047829395,0.106540811013975
"15124",-4.83780166619563,-0.283769673740906,0.107338527840834
"15125",-4.83986487681965,-0.28351266290661,0.106941987517201
"15126",-4.88007300790155,-0.270112229289931,0.0893150133858859
"15127",-4.89722323022975,-0.286918518178461,0.108900951551347
"15128",-4.87023856956143,-0.289235674385654,0.109721962952298
"15129",-4.86045624449348,-0.284813694362844,0.107801047991066
"15130",-4.88049804229347,-0.283347080741191,0.1069159155012
"15131",-4.93570774782123,-0.27450557228568,0.0918305214806382
"15132",-4.89012544178987,-0.287720563806536,0.109841888402243
"15133",-4.86807176540034,-0.284924586898119,0.107719263982073
"15134",-4.88898705325374,-0.28380282915954,0.107254585582055
"15135",-4.85163076709799,-0.28145215375193,0.105848820583319
"15136",-4.77627169592972,-0.2800086408703,0.105105467343131
"15137",-4.73934920650168,-0.277485590120892,0.103574956980865
"15138",-4.78645301708523,-0.280039708137273,0.104908798708278
"15139",-4.86116270921438,-0.285262804735418,0.107969941196017
"15140",-4.87718896486597,-0.284689359858842,0.108027564099571
"15141",-4.80281481883499,-0.285013814933169,0.105675321376843
"15142",-4.74921130481722,-0.281173287928022,0.103780980093841
"15143",-4.74057533318141,-0.279581272731175,0.102392795916131
"15144",-4.87625221463065,-0.269499977304265,0.0890834735238807
"15145",-4.89254862522642,-0.263764453836878,0.08490686427738
"15146",-4.90704422548155,-0.284613915543672,0.107658787512991
"15147",-4.8507413675737,-0.284264484276628,0.107491227972412
"15148",-4.92734717453446,-0.266568771788828,0.0866236486903411
"15149",-4.91020472185696,-0.288602581772663,0.110058320837094
"15150",-4.90464918167948,-0.289047496859988,0.110244957800445
"15151",-4.93482475614825,-0.277130575198865,0.0936036365125895
"15152",-4.93798161339322,-0.277474479051275,0.0935588360060154
"15153",-4.88843947164796,-0.285033995209222,0.108312090073747
"15154",-4.83858489226845,-0.280979092896727,0.105682873715922
"15155",-4.80045943649758,-0.283625648745996,0.106461045988579
"15156",-4.7994289085362,-0.282109045708978,0.106019291551463
"15157",-4.74475321864825,-0.281328158117326,0.103632287130594
"15158",-4.74525317686746,-0.281316111232705,0.103621023709226
"15159",-4.75698591251709,-0.280163046191668,0.104616604340737
"15160",-4.77322604463099,-0.280686839741456,0.105566141252925
"15161",-4.81731454099691,-0.262813647627491,0.0855616614652313
"15162",-4.80168394079135,-0.278723015823811,0.10439582853293
"15163",-4.75537216743767,-0.275495879392759,0.102709383460498
"15164",-4.71652902124016,-0.279595102684333,0.103309128784513
"15165",-4.79473675109575,-0.280396187763997,0.105015716967355
"15166",-4.82383994822801,-0.282337380138469,0.106221978906779
"15167",-4.81407121860514,-0.282015894902853,0.10610127833638
"15168",-4.83116431406755,-0.280094330768798,0.105062189355546
"15169",-4.84027697915241,-0.284230972600565,0.107243378271107
"15170",-4.85663515968992,-0.278501948021098,0.103892458261182
"15171",-4.85131649578331,-0.286180072987426,0.108327294568431
"15172",-4.86090565079719,-0.284962664232928,0.107944311569018
"15173",-4.85696781241635,-0.287283775435518,0.108975617322084
"15174",-4.83795088134659,-0.287201225502429,0.108332093950913
"15175",-4.80673562509083,-0.285111664502434,0.107084784084702
"15176",-4.86176912268775,-0.290549537503354,0.109560643174421
"15177",-4.76837178177458,-0.282613623634056,0.104703334307191
"15178",-4.80056395862359,-0.285037162913008,0.106260910641941
"15179",-4.83060957929558,-0.286920733479826,0.108286940578633
"15180",-4.77878227301229,-0.28352400911017,0.105348255120596
"15181",-4.76225078746632,-0.281579577680901,0.10377370312881
"15182",-4.71450188061911,-0.278776524289536,0.0997778994973255
"15183",-4.7242052438042,-0.280882785347041,0.100622973137374
"15184",-4.74372003427296,-0.280390216875127,0.103141789563152
"15185",-4.76266614429185,-0.281553783315155,0.103775561675338
"15186",-4.80719378400255,-0.285050467694789,0.106074942879996
"15187",-4.80068267643414,-0.284640542710604,0.10585304114786
"15188",-4.79648844312536,-0.284213307556181,0.106594228694097
"15189",-4.80086444094532,-0.285534354786287,0.106736304017328
"15190",-4.80069314142212,-0.284359721958566,0.106745097878391
"15191",-4.80341695878021,-0.284978201649806,0.10725189175648
"15192",-4.83017276850969,-0.28347331520095,0.107227298401247
"15193",-4.85425496073751,-0.284878794018772,0.108020823127933
"15194",-4.85666329596016,-0.288543890027555,0.109300862040951
"15195",-4.88333361696622,-0.286803040295598,0.109175620901769
"15196",-4.90069467710539,-0.284316919431509,0.107511962102063
"15197",-4.78788523355321,-0.283811147086975,0.106488558740448
"15198",-4.74343504425969,-0.280683947314227,0.103449479788873
"15199",-4.73819571754372,-0.280257834910625,0.104282427731931
"15200",-4.72388071995538,-0.281051712969797,0.103627727471219
"15201",-4.72733864010055,-0.279240926609609,0.10342213086719
"15202",-4.81037252072831,-0.258922645352214,0.0821322890689529
"15203",-4.85160105948667,-0.272692565127599,0.0955029860985735
"15204",-4.83217462448808,-0.28385947468122,0.106982364354938
"15205",-4.82448766585036,-0.286977496301662,0.108071798325869
"15206",-4.8290763541406,-0.286662064385669,0.108102208638714
"15207",-4.8250199709237,-0.282408163313032,0.106280870747822
"15208",-4.81203456681052,-0.285421811341095,0.106991129951244
"15209",-4.7880600531948,-0.283814392648566,0.104492502958425
"15210",-4.76456093489973,-0.284010078719457,0.103210091882805
"15211",-4.72874122420351,-0.281508626087088,0.101076797076293
"15212",-4.70496846080192,-0.284184563347037,0.0949346239451929
"15213",-4.66553806817476,-0.280811759924822,0.0899528944049521
"15214",-4.69972221614228,-0.278267961729852,0.100117531293606
"15215",-4.67037147756549,-0.276383370658687,0.0966825684114309
"15216",-4.68900895837336,-0.276910408497479,0.0987776706278566
"15217",-4.72521188496543,-0.278941084512225,0.10216065419823
"15218",-4.83239728878725,-0.286423251233587,0.107954520850856
"15219",-4.84094149192481,-0.28509478982372,0.107498701847172
"15220",-4.84880264603032,-0.28649237972379,0.108656359214833
"15221",-4.82149544029662,-0.285708834093241,0.107409999323686
"15222",-4.83662395090709,-0.287185177425843,0.108244366618514
"15223",-4.75010320803289,-0.280541996589769,0.103084975701096
"15224",-4.72549625078275,-0.2794033088205,0.101611678743176
"15225",-4.75432899662445,-0.288078317027988,0.0974861550973739
"15226",-4.6973045963523,-0.278810836781925,0.0954032105421974
"15227",-4.67652660672676,-0.27613295500995,0.0798525543945884
"15228",-4.66855387992981,-0.278569769948242,0.0827695168561053
"15229",-4.63063521281317,-0.272558870920347,0.0958947441936731
"15230",-4.63402013741334,-0.274334052868453,0.0798370506208712
"15231",-4.67678829095458,-0.275821369786747,0.0993633342668302
"15232",-4.79882366128996,-0.280790406716656,0.105285195287242
"15233",-4.81203964419708,-0.283693600426928,0.106533327696754
"15234",-4.83227459492957,-0.285898723902075,0.107806399462684
"15235",-4.86732379444372,-0.289243702004356,0.109614262843577
"15236",-4.82444397358684,-0.286284963977301,0.105949229538627
"15237",-4.74202180379051,-0.284793494080955,0.0980640200353105
"15238",-4.68629409394514,-0.281127596828331,0.0847810698450767
"15239",-4.63455048524234,-0.270512091179614,0.0783925525655179
"15240",-4.62230327976702,-0.271486396873995,0.0773667195289589
"15241",-4.64590088119455,-0.273021866152428,0.077888128791821
"15242",-4.670526363864,-0.275753797221422,0.0977584904647088
"15243",-4.66542102881011,-0.278012373544086,0.0970792897842642
"15244",-4.6697439351154,-0.27578177867998,0.100141173643616
"15245",-4.72421857516758,-0.276674760258618,0.103140401597783
"15246",-4.77034365771488,-0.279170457526632,0.104428898745477
"15247",-4.7905556820955,-0.280884547936107,0.105608686261992
"15248",-4.78005386252307,-0.279692282550152,0.10469709486351
"15249",-4.81535819676252,-0.281416379505542,0.105471854630016
"15250",-4.71183683589093,-0.278802659246056,0.102465663327504
"15251",-4.74451113752031,-0.282310743304278,0.104288101206861
"15252",-4.72318949615544,-0.279354934996604,0.102700825808728
"15253",-4.76068755322319,-0.280653920676292,0.104713637324543
"15254",-4.7354735385417,-0.279697123291437,0.104124892207283
"15255",-4.71226337944638,-0.278214439010585,0.10298384460004
"15256",-4.70741371496594,-0.277284847831491,0.102656832794348
"15257",-4.67972691744081,-0.275159858768807,0.101760321793091
"15258",-4.66233799671796,-0.275041873522128,0.097659672100967
"15259",-4.68777144232126,-0.276740553102086,0.101058261288093
"15260",-4.76678397270985,-0.282321213194127,0.10533360867283
"15261",-4.7511552542355,-0.280233350240083,0.104394773652773
"15262",-4.68437509270677,-0.277046899478906,0.101447601234688
"15263",-4.65862025524954,-0.274691821846788,0.0997983581417976
"15264",-4.64569812031779,-0.273920890497517,0.0993834727578668
"15265",-4.65269873101502,-0.274582494556803,0.0975969020582774
"15266",-4.68296453746353,-0.276400160107675,0.100840862107935
"15267",-4.69297676449289,-0.278820937291635,0.0990324806950519
"15268",-4.67274655341102,-0.280619989904256,0.0847967893292251
"15269",-4.68639621266942,-0.276966591775384,0.100834194505116
"15270",-4.66655872628206,-0.274982499689694,0.0998161153407723
"15271",-4.7030958175698,-0.27800850103704,0.10210624182715
"15272",-4.70867077582191,-0.278708836352747,0.101991346362594
"15273",-4.73506290792961,-0.280269982661267,0.104165016919561
"15274",-4.77733752034578,-0.281211601785423,0.105274538089227
"15275",-4.80592658798661,-0.282888468960627,0.106206787183722
"15276",-4.8097576121993,-0.283110123558874,0.106330377441874
"15277",-4.7858329954265,-0.284785363931477,0.106613187052314
"15278",-4.75355949346366,-0.282175457562478,0.104870798509441
"15279",-4.74866642636951,-0.281219254099892,0.103875163080707
"15280",-4.74997133902059,-0.280890274446574,0.103481708026082
"15281",-4.74323392317204,-0.280241838552166,0.102958549007561
"15282",-4.70647691613611,-0.277983225964936,0.10175749191194
"15283",-4.67928279700765,-0.277277701647374,0.0983610221459019
"15284",-4.66436640657288,-0.27922079877724,0.0970205971804533
"15285",-4.62970092809908,-0.272895329853011,0.098332133453554
"15286",-4.67343806324247,-0.27558796447032,0.100057477773411
"15287",-4.73963123306422,-0.27719094650248,0.10322802838276
"15288",-4.77454573933154,-0.27951038133512,0.10469155069863
"15289",-4.80123465360178,-0.284550638391748,0.106951691592662
"15290",-4.76124692361141,-0.281174751096876,0.105232398426955
"15291",-4.73112074897147,-0.27692572353278,0.10294090998841
"15292",-4.72206112921907,-0.275869264351595,0.102237656432853
"15293",-4.69946837052555,-0.272923437323179,0.10072678749844
"15294",-4.70533002339577,-0.27806236334618,0.102691979728968
"15295",-4.70372049291055,-0.277238709227439,0.102598230066976
"15296",-4.69307996422211,-0.274761445071136,0.102014359378635
"15297",-4.73336715481325,-0.276858299185413,0.103016995067796
"15298",-4.7373907720384,-0.277185700828166,0.103289714942538
"15299",-4.79929833836394,-0.275767431239109,0.102560874186998
"15300",-4.768604028311,-0.282615040909314,0.105813427997446
"15301",-4.5700375959607,-0.2732940785028,0.0909393167318546
"15302",-4.54617046844022,-0.272524022249064,0.0879538238088244
"15303",-4.55414807973945,-0.269349992196214,0.0920671841625838
"15304",-4.66404254249847,-0.27494051798858,0.100592081833589
"15305",-4.72641935274004,-0.277365129519628,0.102291763444218
"15306",-4.7358079086562,-0.272264739752864,0.100559002608221
"15307",-4.77768991948751,-0.274486470927368,0.101911176468232
"15308",-4.76474083746594,-0.275342353371337,0.102207091851039
"15309",-4.65433846931754,-0.274669227681701,0.0999042716432033
"15310",-4.72067046432232,-0.277290762686112,0.102524611489453
"15311",-4.80747404764572,-0.283765090591509,0.106165945432374
"15312",-4.7196000018398,-0.27914269919914,0.102557679746663
"15313",-4.62457575686713,-0.276094574942837,0.0821803269041049
"15314",-4.58094704065072,-0.267416342540784,0.0774370899073369
"15315",-4.6037858689248,-0.269944736966835,0.0765275070670319
"15316",-4.60515019186028,-0.275603139185295,0.0887014705813861
"15317",-4.60240113363692,-0.27413890353178,0.0870586533593526
"15318",-4.58450881599918,-0.269387193008635,0.0954833023059421
"15319",-4.68964885413264,-0.274010718990391,0.10080976698191
"15320",-4.68286565263048,-0.275960212491945,0.100354186098862
"15321",-4.69633203560623,-0.277874987948456,0.0996546663365448
"15322",-4.68088707438956,-0.281589034173926,0.0855602419933657
"15323",-4.66421026613848,-0.275096320742685,0.0976900560808962
"15324",-4.66387219149294,-0.280509128379422,0.0869163044393907
"15325",-4.63654181228335,-0.276700042583217,0.0822705578909532
"15326",-4.62646694618484,-0.27610653321465,0.0820732633626859
"15327",-4.60331126149053,-0.274482286499243,0.0874707543224844
"15328",-4.58071822811523,-0.267379917921992,0.0747493345530333
"15329",-4.60934167767717,-0.273926322758547,0.0912761930177439
"15330",-4.5913501148384,-0.268570327055461,0.0756248839895932
"15331",-4.62563092814702,-0.275951950331242,0.0858528944732806
"15332",-4.6163835263746,-0.275204907816069,0.0944309373155058
"15333",-4.62620518637589,-0.27255012699387,0.0985132380166643
"15334",-4.63045694939477,-0.273239979435466,0.0969261247569367
"15335",-4.68316688759346,-0.275869813201472,0.100256069776641
"15336",-4.68087375900404,-0.276352955588572,0.0985492637702409
